id,type,title,day,starttime,endtime,timezone,discordurl,stream,location,stream-url,aindanaoaconteceu
4.1,PaperSession,Virtual Humans and Agents,"Tuesday, March 30",13:00,14:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746046041718784,Stream1,Auditorium A,https://youtu.be/zT1-4IDbFr8?t=20280,
4.2,PaperSession,"Hands, Gestures and Grasping","Tuesday, March 30",13:00,14:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746093919699004,Stream2,Auditorium B,https://youtu.be/ob7y6ms48fc?t=20260,
4.3,PaperSession,Redirected Locomotion,"Wednesday, March 31",13:00,14:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746315714756628,Stream1,Auditorium A,https://youtu.be/Ds-h1J4MFMI?t=20685,
5.1,PaperSession,Emotion and Cognition,"Monday, March 29",14:00,15:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745389579010089,Stream1,Auditorium A,https://youtu.be/Ag3LRcqxpo4?t=9017,
5.2,PaperSession,Holographic and Inertial Displays,"Monday, March 29",14:00,15:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745644891013141,Stream2,Auditorium B,https://youtu.be/vU1ooD8uu3A?t=9029,
5.3,PaperSession,Perception,"Thursday, April 1",14:00,15:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825747163187249162,Stream1,Auditorium A,https://youtu.be/ijfvmKMLpQg?t=23434,
5.4,PaperSession,VR Applications,"Thursday, April 1",14:00,15:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825747075794468874,Stream2,Auditorium B,https://youtu.be/ekxFESRAt5c?t=23545,
6.1,PaperSession,Selection and Manipulation,"Wednesday, March 31",15:30,16:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746358244999228,Stream1,Auditorium A,https://youtu.be/Ds-h1J4MFMI?t=29689,
7.1,PaperSession,Embodiment,"Monday, March 29",16:30,17:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745715674349578,Stream1,Auditorium A,https://youtu.be/Ag3LRcqxpo4?t=17992,
7.2,PaperSession,Visualization,"Monday, March 29",16:30,17:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745787308212295,Stream2,Auditorium B,https://youtu.be/vU1ooD8uu3A?t=17997,
8.1,PaperSession,"Plausibility, Presence and Social VR","Tuesday, March 30",17:00,18:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746143697698846,Stream1,Auditorium A,https://youtu.be/zT1-4IDbFr8?t=34670,
